question;context;answers
Compared to the previous year, how much did the use of paper decrease in the bank in 2022?;"The NLB Group is committed to paperless business
operations. Keeping in mind the high price
the environment pays to sustain paper usage,
NLB Banka Prishtina focused its efforts on the
digitalisation of services and the optimisation of
internal processes that have a direct effect on the
reduction of paper usage. Following our initiatives,
the bank managed to reduce the use of paper by up
to 19% in 2022 compared to the previous year.";{'text': ['the bank managed to reduce the use of paper by up\nto 19% in 2022 compared to the previous year'], 'answer_start': [340]}
How many CSR activities are aligned with UN DSDG goals?;More than 100 sponsorships, donations, partnerships, project and other initiatives were executed in 2022. Therefore, this chapter is an overview of key CSR activities with the greatest impact group-wide. “+40% of all CSR activities were aligned with at least one of the UN SDG goals.”;{'text': ['plus 40%'], 'answer_start': [-1]}
How many deaths globally are caused by air pollution ?;"In 2022, NLB became a Green Partner of the GLWF (Green 
Light World Flight) project. Thus, we initiated measurements of 
black carbon, in addition to carbon dioxide, another important 
greenhouse gas. Polluted air globally causes 7 to 8 million 
premature deaths, and in the Western Balkans the situation is 
even more alarming, as according to some scientific findings, 
polluted air in this area causes one in ten deaths.";{'text': ['7 to 8 million premature deaths'], 'answer_start': [-1]}
What is the aim of NLB with the #FrameOfHelp project?;In 2022, as many as 300 companies participated the #FrameOfHelp project, with which NLB Group sought sustainable solutions to the challenges of the future.;{'text': ['To sought sustainable solutions to the challenges of the future.'], 'answer_start': [-1]}
How much NLB Group donated to humanitarian organisations?;"Apart from several donations carried out by the Group 
through the year, a special inclusive charity project was 
carried out in the festive season. Employees of NLB Group 
from the whole region nominated and voted for various 
associations, humanitarian organisations and groups to 
which we then allocated funds in the total value of more than  €500,000 ";{'text': ['€500,000 '], 'answer_start': [347]}
Part of which programme were Customer Relatinship Management  free education sessions?;As part of the “Women in Business” programme implemented  by the EBRD and organised by NLB Banka Podgorica, in  2022 a series of free education sessions on the topic “CRM –  Customer Relationship Management” was completed, created  as an expression of the recognition of the need for women’s  businesses to more readily face the challenge professionally  called “permacrisis” or “permanent crisis”.;{'text': ['As part of the “Women in Business” programme implemented  by the EBRD and organised by NLB Banka Podgorica,'], 'answer_start': [0]}
On how many tiers is the Bank's corporate governance based on?;"The Bank’s corporate governance is based on a two-tier
system in which the Management Board manages the Bank,
while its daily operations are overseen by the Supervisory
Board";{'text': ['The Bank’s corporate governance is based on a two-tier\nsystem in which the Management Board manages the Bank'], 'answer_start': [0]}
What will the Supervisory Board of NLB annualy assess with regard to its indivudal members?;"As a rule, the Supervisory Board of NLB shall once a year
assess its composition, performance, potential conflict of
interest of individual members of the Supervisory Board,
performance of individual members and the Supervisory
Board as a whole, performance of Supervisory Board
committees and cooperation with the Management
Board of the Bank";{'text': ['the Supervisory Board of NLB shall once a year\nassess its composition, performance, potential conflict of\ninterest of individual members of the Supervisory Board'], 'answer_start': [11]}
What is respect for human rights an indicator of?;"Respect for human rights is an indicator of the maturity
of a social and business environment and is therefore an
important element of social responsibility.";{'text': ['Respect for human rights is an indicator of the maturity\nof a social and business environment'], 'answer_start': [0]}
What does NLB Group's transparency of operations allow?;"NLB Group strives for transparency of operations which
allows the recipients of information to correctly assess the
position, operations, risks and management of the Bank
and the Group";{'text': ['correctly assess the\nposition, operations, risks and management of the Bank\nand the Group'], 'answer_start': [95]}
"What does the The Policy on the provision of diversity of the management
body and senior management define?";"The Policy on the provision of diversity of the management
body and senior management (Diversity Policy), adopted by
the General Meeting of Shareholders on 20 June 2022, defines
the Bank’s commitments on diversity that are implemented
in relation to representation in the management body and
senior management in relation to the aspects specified in this
policy, which contains specific objectives and the manner of
their implementation";{'text': ['The Policy on the provision of diversity of the management\nbody and senior management (Diversity Policy), adopted by\nthe General Meeting of Shareholders on 20 June 2022, defines\nthe Bank’s commitments on diversity that are implemented\nin relation to representation in the management body and\nsenior management in relation to the aspects specified in this\npolicy'], 'answer_start': [0]}
Why was EU Taxonomy developed? ;"To achieve ambitious goal of net-zero Green House Gas
(GHG) emissions by 2050, one of the tools that was developed
was the EU Taxonomy - a classification system created
to help promote sustainable finance and investment. It
provides a common language for disclosing information on
the sustainability of economic activities, which can improve
transparency and comparability across different companies
and sectors. This can help investors and stakeholders make
informed decisions and drive improvements in sustainability
performance";{'text': ['To achieve ambitious goal of net-zero Green House Gas\n(GHG) emissions by 2050, one of the tools that was developed\nwas the EU Taxonomy - a classification system created\nto help promote sustainable finance and investment.'], 'answer_start': [0]}
What is the commitment of NLB and NLB Group in terms of decarbonization? ;"As a signatory of the UN Net-Zero Banking Alliance, NLB and
NLB Group are committed to transitioning operational and attributable GHG emissions
from their lending and investment portfolios to align with
pathways to net-zero by 2050 or sooner.";{'text': ['Transitioning operational and attributable GHG emissions\nfrom their lending and investment portfolios to align with\npathways to net-zero by 2050 or sooner.'], 'answer_start': [87]}
In which levels does NLB Skladi tackle the sustainability development activities?;"Sustainable development is one of the strategic orientations of
the company. NLB Skladi tackles the sustainable development
activities at two levels: 1. Harmonisation within the NLB Group
at company level and 2. Harmonisation of the company with
legislation at the level of the provision of services/products. ";{'text': ['NLB Skladi tackles the sustainable development\nactivities at two levels: 1. Harmonisation within the NLB Group\nat company level and 2. Harmonisation of the company with\nlegislation at the level of the provision of services/products. '], 'answer_start': [77]}
What is the aim of Sustainable development policy?;"Therefore, the aim of Sustainable development policy is
to ensure the sustainable and successful operation of
NLB Skladi, taking into account environmental, social and
governance factors, their impact on company’s risks and
business opportunities, and to actively contribute to a more
balanced and inclusive economic and social system.";{'text': ['the aim of Sustainable development policy to ensure the sustainable and successful operation of\nNLB Skladi, taking into account environmental, social and\ngovernance factors, their impact on company’s risks and\nbusiness opportunities, and to actively contribute to a more\nbalanced and inclusive economic and social system.'], 'answer_start': [-1]}
Why did the NLB group join the UN Principles for Responsible Banking framework?;"In 2022, the NLB Group continued with its commitment to the
UN Principles for Responsible Banking (the Principles). The
Group joined this framework to make a positive contribution
to people and the planet, with the special commitment to
economic development and improving the quality of life in the
region where the Group operates.";{'text': ['The\nGroup joined this framework to make a positive contribution\nto people and the planet, with the special commitment to\neconomic development and improving the quality of life in the\nregion where the Group operates'], 'answer_start': [116]}
"What will be the volume of new sustainable corporate
financing in the NLB Group by the year 2030?";"Publicly announced target by 2030
By the year 2030, the volume of new sustainable corporate
financing in the NLB Group will be at least 785 mio EUR.";{'text': ['By the year 2030, the volume of new sustainable corporate\nfinancing in the NLB Group will be at least 785 mio EUR.'], 'answer_start': [34]}
How much of the new sustainable corporate financing did the Group implement by year 2022?;"Target achivements in 2022
By year 2022 the NLB Group has implemented 166.9 million of
new sustainable corporate financing. ";{'text': ['By year 2022 the NLB Group has implemented 166.9 million of\nnew sustainable corporate financing. '], 'answer_start': [27]}
What will be the main source of electric energy used in the NLB Group by the year 2030?;"Publicly announced target by 2030
By the year 2030, 75% of all electric energy used in the NLB
Group will come from zero-carbon sources.";{'text': ['By the year 2030, 75% of all electric energy used in the NLB\nGroup will come from zero-carbon sources.'], 'answer_start': [34]}
Compared to 2019, how much will the NLB Group decrease the number of paper prints by the year 2025?;"Publicly announced target by 2025
By the year 2025, the NLB Group will decrease the number of
paper prints in its operations by 50% compared to the year 2019.";{'text': ['By the year 2025, the NLB Group will decrease the number of\npaper prints in its operations by 50% compared to the year 2019.'], 'answer_start': [34]}
Compared to 2019, how much did the NLB Group decrease the number of paper prints by the year 2022?;"Target achivements in 2022
By the year 2022 the NLG Group decreased the number of
paper prints by 43% compared to 2019";{'text': ['By the year 2022 the NLG Group decreased the number of\npaper prints by 43% compared to 2019'], 'answer_start': [27]}
What is the estimated share of active digital retail users in the NLB Group by the year 2025?;"Publicly announced target by 2025
By the year 2025, the share of active digital retail users in the
NLB Group will be 55%.";{'text': ['By the year 2025, the share of active digital retail users in the\nNLB Group will be 55%.'], 'answer_start': [34]}
What is the share of active digital retail users in NLB Group in 2022?;"Target achivements in 2022
Share of active digital retail users in NLB Group in 2022 is 40.1%";{'text': ['Share of active digital retail users in NLB Group in 2022 is 40.1%'], 'answer_start': [27]}
What analytical and visualisation tool does the Group use to analyse and monitor its credit portfolio? ;"The Group is analysing and monitoring its credit portfolio by
using heat maps. For the purpose of heat maps the Group
aggregates single risks by using predefined weights for
determination of final risk score. Such approach enables
different views over the Group’s corporate portfolio from
physical and transition risk perspective.";{'text': ['The Group is analysing and monitoring its credit portfolio by using heat maps. '], 'answer_start': [-1]}
Are ESG risks considered as a new risk category? ;"ESG risks do not represent a new risk category, but rather
one of risk drivers of the existing type of risks, such as credit,
liquidity, market and operational risk. The Group integrates
and manages them within the established risk management
framework in the area of credit, liquidity, market and
operational risk.";{'text': ['ESG risks do not represent a new risk category, but rather\none of risk drivers of the existing type of risks, such as credit,\nliquidity, market and operational risk.'], 'answer_start': [0]}
In which cases does the Bank gather energy performing certificates (EPCs)? ;"For new lending the Bank gathers energy performance
certificates (EPC-s) for real estate in collateral in all cases when
energy performance certificate is mandatory according to
Slovenian law. Owners of buildings which do not sell or rent out
their properties, do not need an EPC. For Back book the Bank
relies on actual data from public EPC registry and modelled
EPC-s. For modelled EPC-s in Slovenia external provider
modelled missing EPC-s based on public EPC registry data
and information from national building registry. Activities for
collecting additional official and modelled energy performance
certificates (EPC-s) in the whole Group are underway.";{'text': ['For new lending the Bank gathers energy performance\ncertificates (EPC-s) for real estate in collateral in all cases when\nenergy performance certificate is mandatory according to\nSlovenian law.'], 'answer_start': [0]}
Does the Group finance thermal coal mining ot coal-fired electricity? ;"Sustainable ESG financing in accordance with Environmental and Social Management System (ESMS) is integrated in
Risk Appetite Statement of NLB Group. As part of its strategy, the Group does not finance thermal coal mining or coalfired
electricity generation capacity in any way, including eventual transitional enhancements. No such investments were
approved during 2022.";{'text': ['As part of its strategy, the Group does not finance thermal coal mining or coal-fired\nelectricity generation capacity in any way, including eventual transitional enhancements'], 'answer_start': [-1]}
On how many levels ESG risk management is considered in the Group? ;"According to ESMS, ESG risk management is considered on
three levels:
• having a low impact on the environment and having the
potential to replace high-impact activities (e.g. renewable
energy),
• reducing impact form other activities,
• making a positive environmental contribution.";{'text': ['According to ESMS, ESG risk management is considered on\nthree levels. '], 'answer_start': [-1]}
What is the green bond framework? ;"The Green Bond framework is an integral part of the process
when issuing green bonds. Issuance of bonds in a green
format is an ambition of NLB. In 2023 the Bank will take
decisive steps in order to be ready to issue one of its future
bonds in a green format.";{'text': ['The Green Bond framework is an integral part of the process\nwhen issuing green bonds.'], 'answer_start': [0]}
When did NLB Group introduce the first green financing offer? ;"In NLB Group, we recognise climate-related changes
not only as risks, but also as business opportunities, and
recognise a responsibility to support clients in their green
transition. Therefore, since the introduction of the first green
financing offer (NLB Green Housing Loan) in 2020, the Group
continues to strengthen its sustainable finance proposition
with sustainability-related financing for private individual,
micro, SMEs and corporate clients.";{'text': ['In 2020. '], 'answer_start': [-1]}
Was NLB Group included iun 2022 ECB Climate Stress test excercise? ;"As systemically important institution, the Group was included
into 2022 ECB Climate Stress test exercise, consisted of three
modules. The exercise was conducted in the first half of
2022 and aggregate results were published in July 2022. By
performing this exercise ECB assessed how banks are prepared
for dealing with financial and economic shocks stemming from
climate risk. The Group’s overall results were within the range of
average peer results.";{'text': ['As systemically important institution, the Group was included\ninto 2022 ECB Climate Stress test exercise, consisted of three\nmodules'], 'answer_start': [0]}
How much new green loan NLB Group generated for micro and corporate clients? ;"NLB Group generated new green loan volume for micro and corporate clients in the amount of €166.9
million.";{'text': ['€166.9\nmillion'], 'answer_start': [91]}
How much new green loan NLB Group generated for retail clients? ;NLB generated new green loan volume for retail clients in the amount of over €53 million.;{'text': ['Over €53 million'], 'answer_start': [72]}
How many new green loan offers did NLB introduce for legal entities? ;"NLB introduced 3 new green loan offers for legal entities (Micro and SME):
• NLB Green partner loan to finance the construction of turnkey solar power plants
• NLB Green Loan for investments in the energy efficiency of business buildings
• NLB Green Loan for reducing the carbon footprint, that cover the area of energy efficiency, circular
economy and sustainable agriculture";{'text': ['NLB introduced 3 new green loan offers for legal entities (Micro and SME).\n'], 'answer_start': [-1]}
What was the volume of ESG bonds at the end of 2022? ;"At the end of 2022 NLB Group had €191 mio in ESG bonds
which represented 4% of the Group’s banking book securities
portfolio and was 100% higher than EOY 2021 (2% share)";{'text': [' €191 million'], 'answer_start': [-1]}
What are the three key pillars of sustainability?;which laid foundations for three pillars of sustainability: sustainable finance, sustainable operations and contribution to society. The goal of this strategic, group-wide initiative is to ensure sustainable;{'text': ['sustainable finance, sustainable operations and contribution to society'], 'answer_start': [60]}
In which year was the Policy on Respect for Human Rights in NLB Group adopted?;Policy on Respect for Human Rights in NLB and NLB Group was adopted by the Management Board in 2023.;{'text': ['In 2023.'], 'answer_start': [92]}
What is the NLB Group Code of Conduct?;The NLB Group Code of Conduct is a standardised document that describes ethical business conduct, outlines values, and sets conduct guidelines for relationships with clients, competitors, business partners, state authorities, regulators, shareholders, and internal relationships among employees.;{'text': ['The NLB Group Code of Conduct is a standardised document that describes ethical business conduct, outlines values, and sets conduct guidelines for relationships with clients, competitors, business partners, state authorities, regulators, shareholders, and internal relationships among employees.'], 'answer_start': [0]}
What does NLB do to raise awareness of protection of personal data and information among employees?;To this end, we organise regular education and training courses in order to raise awareness about protection among our employees and to ensure compliance with the established standards of information protection and compliance with the regulations and standards implemented by the Bank.;{'text': ['Organise regular education and training courses.'], 'answer_start': [-1]}
On which committees is the Cyber security in the NLB Group regularly discussed?;d products for clients. Cyber security in the Group is constantly tested and upgraded by security assessments, independent reviews, and penetration testing, also regularly discussed at the Bank’s Information Security Steering Committee, Operational Risk Committee, and Management Board meetings. During 2022;{'text': ['Bank’s Information Security Steering Committee, Operational Risk Committee, and Management Board meetings'], 'answer_start': [189]}
What does the National action plan for respecting human rights in economy focus on?;In June 2022 the NLB d.d. decided on joining the commitment to the Slovenian ‘National action plan for respecting human rights in economy’, based on which companies adhere to the constitution and internationally recognized human rights. The commitment encourages 2030 Agenda, OECD Guidelines, ISO 26000, GRI and focuses on precarious work, gender equality, working environment for people with disabilities, consumer rights and forced labour.;{'text': ['Precarious work, gender equality, working environment for people with disabilities, consumer rights and forced labour.'], 'answer_start': [323]}
When was the comprehensive Policy on Respect for Human Rights in NLB d.d. and the NLB Group adopted?;In the second half of 2022 the Bank started with preparations of the comprehensive Policy on Respect for Human Rights in NLB d.d. and the NLB Group, which was adopted in January 2023. This Policy contains the commitment of;{'text': ['In January 2023.'], 'answer_start': [167]}
How many human right violations were confirmed in 2022 in relation to employees and customers, or by external contractors and suppliers and other contractual partners.;“In 2022 no human rights violations have been confirmed in relation to employees and customers, or by external contractors and suppliers and other contractual partners.”;{'text': ['Zero.'], 'answer_start': [-1]}
What was the goal of Environmental and Social Factors/Risk Management System?;NLB also pays special attention to human rights in the context of the development of the Environmental and Social Factors/ Risk Management System (ESMS), which aims to manage climate and/or environmental and social risks.;{'text': ['To manage climate and/or environmental and social risks.'], 'answer_start': [165]}
Which forms of bribery and corruption are allowed in NLB Group?;s zero tolerance for such harmful practices. NLB Group rejects all forms of bribery and corruption. These forms of actions are unfair, illegal, and detrimental to countries with corrupt practices and society in general.;{'text': ['No form of bribery and corruption is allowed in NLB Group.'], 'answer_start': [-1]}
How many bribery attempts were in 2022 on the level of NLB Group?;On the level of NLB Group, there was one attempted incident of corruption (in NLB d.d.) in 2022. The employee fully adhered to internal rules, immediately refused the bribe and reported the case to Compliance and Integrity, which immediately took action and resolved the issue, in line with internal procedures.;{'text': ['One.'], 'answer_start': [-1]}
What does the acronym ECRA stands for?;The Enterprise Compliance and Integrity Risk Assessment (ECRA) is performed at the Group level a;{'text': ['Enterprise Compliance and Integrity Risk Assessment.'], 'answer_start': [-1]}
Where can the suspicions of harmful conduct be reported in NLB Group?;In NLB Group various (whistleblowing) channels are established for reporting suspicions of harmful conduct (internally and publicly available), including suspicion of corrupt conduct.;{'text': ['On various whistleblowing channels.'], 'answer_start': [-1]}
Which are the channels to report potentially non-ethical business practices?;" or HR managers. 
Employees also have access to different channels through 
which they can report potentially non-ethical or inappropriate 
business practices (including anonymously): 
 
• electronically via the Whistler web application (available 
also for external stakeholders) 
• via e-mail to the dedicated e-mail address 
• by regular mail to the dedicated postal address or post box 
(also available for external stakeholders) 
• in person 
• by telephone";{'text': ['Whistler web application, e-mail to dedicated e-mail address, regular mail, in person, by telephone.'], 'answer_start': [-1]}
How many whistle-blow cases were reported at the NLB Group level in 2022?;Among them, 10 reports of suspicions of harmful behaviour were categorised as whistle-blow cases at the Group level. Details are presented in the table below.;{'text': ['10.'], 'answer_start': [-1]}
Where can we find more information about NLB Group whistle-blowing system?;For more information about our whistle-blowing system, refer to: https://whistler.nlb.si/faq-eng.;{'text': ['On https://whistler.nlb.si/faq-eng.'], 'answer_start': [-1]}
How many Conflict of Interest cases were processed by the Members of the NLB Group in 2022?;Total cases processed Whistleblow cases* Anti-Bribery and Corruption Conflict of interest Fraud Failure to comply with internal regulations Failure to comply with HR regulations NLB 41 3 0 1 1 1 Members of NLB Group 34 7 1 1 1 3 1 75 10;{'text': ['1'], 'answer_start': [183]}
Where is the Tax Policy of NLB Group prepared?;The Tax Policy of NLB Group is prepared and managed by Financial Accounting and Administration in NLB d.d., which is also primarily responsible for taxes in NLB d.d. Financial;{'text': ['Financial Accounting and Administration in NLB d.d.'], 'answer_start': [55]}
Does NLB optimise taxes?;We optimise taxes only in legally permitted ways.;{'text': ['Yes, only in legally permitted ways.'], 'answer_start': [-1]}
Who audits the NLB Taxes on yearly basis?;Tax is regularly audited by external auditors within the yearly audit.;{'text': ['External auditors.'], 'answer_start': [-1]}
How many times was the special tax status awarded to NLB?;special tax status which is based on cooperation, transparency, understanding, voluntary payment of taxes and mutual trust. This status can be granted only to trustworthy taxpayers who have appropriate internal tax controls in place. In 2021, only 11 big taxpayers had such status in Slovenia. This status, which is granted for a period of three years, was first granted to NLB in 2018 and was prolonged for another three years in 2021.;{'text': ['Two.'], 'answer_start': [-1]}
How many employees are in Montenegro according to the CBCR report for 2022?;Number of employees Revenues from thirdparty sales Revenues from intra-group transactions with other tax jurisdictions Profit/loss before tax Tangible assets other than cash and cash equivalents Corporate income tax paid on a cash basis Corporate income tax accrued on profit/loss Slovenia 2833 367,121 8699 135,062 123,101 4626 7349 North Macedonia 954 78,369 -2487 41,601 38,780 4820 4004 Serbia 2614 193,718 3026 70,729 122,795 1664 5192 Montenegro 380 38,251 -429 15,432 36,995 699 1782 Croatia 6 473 144 -170 1675 7 45 Bosnia and Hercegovina 971 71,205 -994 33,352 33,949 3884 3130 Kosovo 467 49,251 -866 36,095 12,803 3364 3740 Germany 1 58 -4 -646 98 0 0 Switzerland 2 103 -125 -2189 1860 32 24;{'text': ['380'], 'answer_start': [453]}
How much did the NLB Group reduce the carbon footprint in 2022 compared to 2021.;n 2022, Total Scope 1, 2 and 3 (limited inclusion) emissions of NLB Group accounted for 19,906 t CO2 , which is 46% reduction compared to 2021. Emissions from scope 1 and 2 show 16, 015 t CO2 , that is 52% reduction from 2021. Main reason for significant reduction of CO2 emissions;{'text': ['For 46%'], 'answer_start': [-1]}
